GB	cluster
GB53380	C2
GB53388	C6
GB53393	C6
GB53394	C3
GB53398	C1
GB53401	C3
GB53409	C6
GB53416	C4
GB53417	C1
GB53420	C4
GB53421	C1
GB53428	C4
GB53457	C2
GB53490	C5
GB53493	C3
GB53539	C6
GB53565	C4
GB53582	C3
GB53582	C3
GB53589	C4
GB53611	C8
GB53647	C6
GB53649	C3
GB53650	C1
GB53652	C6
GB53667	C2
GB53670	C1
GB53682	C1
GB53685	C7
GB53699	C1
GB53701	C4
GB53707	C3
GB53713	C1
GB53729	C2
GB53748	C3
GB53750	C5
GB53769	C7
GB53778	C3
GB53790	C4
GB53791	C2
GB53791	C3
GB53826	C7
GB53828	C5
GB53840	C4
GB53850	C1
GB53861	C1
GB53876	C8
GB53877	C6
GB53909	C4
GB53921	C4
GB53923	C3
GB53935	C8
GB53948	C2
GB53953	C2
GB53953	C4
GB53972	C4
GB53976	C5
GB54030	C3
GB54040	C4
GB54087	C1
GB54091	C4
GB54092	C8
GB54102	C1
GB54117	C2
GB54118	C4
GB54128	C2
GB54145	C1
GB54166	C7
GB54168	C8
GB54170	C8
GB54194	C6
GB54198	C5
GB54203	C4
GB54205	C7
GB54223	C3
GB54234	C1
GB54240	C6
GB54244	C1
GB54251	C2
GB54254	C3
GB54256	C3
GB54283	C4
GB54288	C1
GB54295	C1
GB54296	C5
GB54297	C2
GB54310	C4
GB54311	C4
GB54339	C4
GB54341	C1
GB54346	C7
GB54364	C1
GB54371	C3
GB54377	C6
GB54378	C1
GB54381	C6
GB54385	C3
GB54387	C6
GB54391	C6
GB54404	C2
GB54410	C5
GB54420	C7
GB54432	C7
GB54435	C1
GB54449	C8
GB54462	C6
GB54467	C8
GB54478	C6
GB54480	C3
GB54503	C2
GB54508	C5
GB54510	C8
GB54516	C7
GB54555	C8
GB54557	C5
GB54572	C8
GB54574	C6
GB54585	C7
GB54589	C6
GB54606	C1
GB54622	C1
GB54625	C1
GB54643	C3
GB54649	C5
GB54657	C1
GB54662	C8
GB54676	C2
GB54677	C3
GB54683	C7
GB54684	C4
GB54690	C3
GB54697	C6
GB54698	C1
GB54699	C2
GB54708	C4
GB54714	C3
GB54718	C1
GB54724	C3
GB54728	C1
GB54741	C1
GB54742	C7
GB54743	C2
GB54748	C7
GB54774	C3
GB54802	C4
GB54812	C1
GB54832	C2
GB54841	C5
GB54843	C1
GB54846	C7
GB54851	C5
GB54856	C1
GB54862	C1
GB54880	C7
GB54886	C3
GB54886	C8
GB54916	C2
GB54916	C2
GB54919	C8
GB54928	C1
GB54929	C7
GB54935	C3
GB54937	C2
GB54942	C6
GB54950	C4
GB54953	C1
GB54953	C2
GB54956	C2
GB54958	C1
GB54967	C1
GB54971	C2
GB54974	C8
GB54977	C8
GB54984	C8
GB54987	C4
GB54994	C4
GB55001	C1
GB55002	C5
GB55003	C8
GB55008	C7
GB55009	C1
GB55012	C4
GB55015	C1
GB55016	C3
GB55017	C1
GB55020	C3
GB55033	C3
GB55074	C8
GB55075	C5
GB55082	C8
GB55096	C2
GB55102	C8
GB55103	C5
GB55109	C7
GB55112	C2
GB55130	C6
GB55151	C1
GB55160	C6
GB55165	C3
GB55237	C1
